time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-02 00:00:00+00:00,0,0,4,1
2023-12-03 00:00:00+00:00,1,1,0,0
2023-12-04 00:00:00+00:00,1,1,4,1
2023-12-05 00:00:00+00:00,0,0,3,1
2023-12-07 00:00:00+00:00,2,2,37,1
2023-12-10 00:00:00+00:00,1,1,1,1
2023-12-11 00:00:00+00:00,1,1,0,0
2023-12-13 00:00:00+00:00,2,2,8,4
2023-12-17 00:00:00+00:00,0,0,7,1
2023-12-25 00:00:00+00:00,0,0,6,1
2023-12-29 00:00:00+00:00,1,1,0,0
2023-12-30 00:00:00+00:00,2,1,0,0
2023-12-31 00:00:00+00:00,6,2,0,0
2024-01-03 00:00:00+00:00,0,0,4,2
2024-01-10 00:00:00+00:00,1,1,8,1
2024-01-11 00:00:00+00:00,2,2,0,0
2024-01-12 00:00:00+00:00,5,1,18,1
2024-01-14 00:00:00+00:00,1,1,0,0
2024-01-19 00:00:00+00:00,6,1,0,0
2024-01-23 00:00:00+00:00,0,0,67,1
2024-01-24 00:00:00+00:00,3,2,0,0
2024-01-25 00:00:00+00:00,0,0,4,1
2024-01-26 00:00:00+00:00,7,2,0,0
2024-01-27 00:00:00+00:00,0,0,65,2
2024-01-29 00:00:00+00:00,10,2,0,0
2024-01-30 00:00:00+00:00,0,0,7,1
2024-02-10 00:00:00+00:00,0,0,12,2
2024-02-14 00:00:00+00:00,1,1,0,0
2024-02-21 00:00:00+00:00,0,0,3,1
2024-02-22 00:00:00+00:00,0,0,41,2
2024-02-26 00:00:00+00:00,1,1,76,1
2024-02-27 00:00:00+00:00,0,0,10,2
2024-02-29 00:00:00+00:00,0,0,66,2
2024-03-01 00:00:00+00:00,1,1,1,1
2024-03-02 00:00:00+00:00,0,0,5,1
2024-03-03 00:00:00+00:00,0,0,2,2
2024-03-04 00:00:00+00:00,1,1,1,1
2024-03-06 00:00:00+00:00,0,0,16,3
2024-03-07 00:00:00+00:00,0,0,7,1
2024-03-08 00:00:00+00:00,1,1,4,1
2024-03-12 00:00:00+00:00,1,1,0,0
2024-03-13 00:00:00+00:00,0,0,1,1
2024-03-17 00:00:00+00:00,1,1,0,0
2024-03-18 00:00:00+00:00,1,1,7,1
2024-03-19 00:00:00+00:00,0,0,14,1
2024-03-20 00:00:00+00:00,5,1,0,0
2024-03-25 00:00:00+00:00,0,0,11,1
2024-03-27 00:00:00+00:00,1,1,0,0
2024-03-28 00:00:00+00:00,1,1,13,1
2024-03-29 00:00:00+00:00,0,0,3,1
2024-04-12 00:00:00+00:00,0,0,1,1
2024-04-15 00:00:00+00:00,0,0,20,1
2024-04-16 00:00:00+00:00,0,0,1,1
2024-04-26 00:00:00+00:00,0,0,14,1
2024-04-27 00:00:00+00:00,0,0,100,2
2024-04-28 00:00:00+00:00,0,0,10,2
2024-04-30 00:00:00+00:00,0,0,16,2
2024-05-09 00:00:00+00:00,1,1,0,0
2024-05-10 00:00:00+00:00,1,1,2,1
2024-05-12 00:00:00+00:00,1,1,9,1
2024-05-13 00:00:00+00:00,0,0,76,3
2024-05-16 00:00:00+00:00,0,0,1,1
2024-05-21 00:00:00+00:00,1,1,0,0
2024-05-22 00:00:00+00:00,0,0,2,1
2024-05-25 00:00:00+00:00,0,0,70,1
2024-05-26 00:00:00+00:00,0,0,15,2
2024-05-27 00:00:00+00:00,0,0,2,1
2024-05-29 00:00:00+00:00,0,0,16,1
2024-05-30 00:00:00+00:00,1,1,0,0
2024-05-31 00:00:00+00:00,0,0,2,2
2024-06-01 00:00:00+00:00,1,1,0,0
2024-06-03 00:00:00+00:00,0,0,100,3
2024-06-04 00:00:00+00:00,0,0,10,1
2024-06-05 00:00:00+00:00,0,0,1,1
2024-06-06 00:00:00+00:00,2,1,1,1
2024-06-09 00:00:00+00:00,1,1,0,0
2024-06-12 00:00:00+00:00,1,1,1,1
2024-06-13 00:00:00+00:00,1,1,1,1
2024-06-18 00:00:00+00:00,0,0,1,1
